#Predictions based on model below... 
#
# Call:
#   lm(formula = A2 ~ Year + Year2 + Year3, data = data.frame(A2 = table2$A2, 
#                                                             Year = table2$Year, Year2 = table2$Year * table2$Year, Year3 = (table2$Year)^3))
# 
# Residuals:
#   Min      1Q  Median      3Q     Max 
# -2.3504 -1.5337  0.1563  1.1378  2.9066 
# 
# Coefficients:
#   Estimate Std. Error t value Pr(>|t|)    
# (Intercept) -6.360e+05  8.778e+04  -7.246 2.77e-05 ***
#   Year         9.894e+02  1.295e+02   7.643 1.75e-05 ***
#   Year2       -5.131e-01  6.363e-02  -8.064 1.10e-05 ***
#   Year3        8.875e-05  1.042e-05   8.516 6.78e-06 ***
#   ---
#   Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1
# 
# Residual standard error: 1.95 on 10 degrees of freedom
# Multiple R-squared:  0.9999,	Adjusted R-squared:  0.9999 
# F-statistic: 3.327e+04 on 3 and 10 DF,  p-value: < 2.2e-16
#


Year Month CO2
1953 10 309.050703048008
1953 11 309.114905480877
1953 12 309.179203030071
1954 1 309.243596005486
1954 2 309.308084714226
1954 3 309.372669464676
1954 4 309.437350564636
1954 5 309.502128323424
1954 6 309.567003047909
1954 7 309.631975046708
1954 8 309.697044627857
1954 9 309.762212099973
1954 10 309.82747777109
1954 11 309.892841948778
1954 12 309.958304942003
1955 1 310.023867058218
1955 2 310.089528606273
1955 3 310.155289893155
1955 4 310.221151228645
1955 5 310.287112919614
1955 6 310.353175274679
1955 7 310.419338601991
1955 8 310.485603210167
1955 9 310.551969406544
1955 10 310.61843749939
1955 11 310.685007797438
1955 12 310.751680608373
1956 1 310.818456241046
1956 2 310.885335002444
1956 3 310.952317201532
1956 4 311.019403146114
1956 5 311.086593144806
1956 6 311.153887505177
1956 7 311.221286535962
1956 8 311.288790544844
1956 9 311.356399840442
1956 10 311.424114730209
1956 11 311.491935523693
1956 12 311.559862527414
1957 1 311.627896049875
1957 2 311.696036399924
1957 3 311.764283885597
1957 4 311.832638815045
1957 5 311.901101495605
1957 6 311.969672236475
1957 7 312.03835134476
1957 8 312.107139130123
1957 9 312.176035899087
1957 10 312.2450419612
1957 11 312.314157623448
1957 12 312.383383194683
1958 1 312.452718982706
1958 2 312.522165296599
1958 3 312.591722443351
1958 4 312.661390731228
1958 5 312.731170468847
1958 6 312.801061964477
1958 7 312.871065526386
1958 8 312.941181461792
1958 9 313.011410079547
1958 10 313.081751687569
1958 11 313.152206594707
1958 12 313.222775107948
1959 1 313.293457536376
1959 2 313.364254187909
1959 3 313.435165370582
1959 4 313.506191392313
1959 5 313.577332562185
1959 6 313.648589187418
1959 7 313.71996157628
1959 8 313.791450037155
1959 9 313.863054878195
1959 10 313.934776408016
1959 11 314.006614933722
1959 12 314.078570764279
1960 1 314.150644207373
